"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"11.merged.sorted.bam"	"NO"	"ND"	"0"	"65800"
"12.merged.sorted.bam"	"NO"	"ND"	"2"	"55770"
"13.merged.sorted.bam"	"NO"	"ND"	"0"	"71878"
"14.merged.sorted.bam"	"NO"	"ND"	"0"	"88951"
"15.merged.sorted.bam"	"NO"	"ND"	"0"	"71446"
"16.merged.sorted.bam"	"NO"	"ND"	"0"	"82103"
"17.merged.sorted.bam"	"NO"	"ND"	"0"	"67928"
"18.merged.sorted.bam"	"NO"	"ND"	"0"	"67381"
"19.merged.sorted.bam"	"NO"	"ND"	"0"	"67811"
"20.merged.sorted.bam"	"NO"	"ND"	"2"	"65894"
